,fitness,expression,depth,length
alpha_159,1.0290718177000295,"mul(mul(close, open), sqrt(low))",2,6
alpha_28,1.0290704562297623,"add(mul(close, neg(low)), mul(mul(open, close), mul(low, open)))",3,12
alpha_93,1.0290391799897571,"abs(mul(mul(open, low), max(close, low)))",3,8
alpha_99,1.0290391799897571,"neg(mul(max(open, low), mul(close, low)))",3,8
alpha_85,1.0290391799897571,"neg(mul(mul(open, low), max(close, low)))",3,8
alpha_101,1.0290391799897571,"abs(mul(max(open, open), mul(close, low)))",3,8
alpha_709,1.0289900698258514,"mul(close, abs(open))",2,4
alpha_627,1.0289900698258514,"abs(mul(open, close))",2,4
alpha_606,1.0289900698258514,"mul(abs(close), open)",2,4
alpha_602,1.0289900698258514,"neg(mul(close, open))",2,4
alpha_598,1.0289900698258514,"neg(mul(open, close))",2,4
alpha_614,1.0289900698258514,"abs(mul(close, open))",2,4
alpha_727,1.0289900698258514,"mul(neg(close), open)",2,4
alpha_565,1.0289900698258514,"mul(close, neg(open))",2,4
alpha_572,1.0289900698258514,"mul(open, abs(close))",2,4
alpha_637,1.0289900698258514,"mul(abs(open), close)",2,4
alpha_654,1.0289900698258514,"mul(neg(open), close)",2,4
alpha_757,1.0289900698258514,"mul(open, neg(close))",2,4
alpha_178,1.0289176987255877,"mul(abs(open), mul(close, open))",2,6
alpha_177,1.0289176987255877,"mul(mul(close, abs(open)), open)",3,6
alpha_176,1.0289176987255877,"mul(mul(open, close), neg(open))",2,6
alpha_170,1.0289176987255877,"mul(mul(open, open), neg(close))",2,6
alpha_175,1.0289176987255877,"mul(abs(close), mul(open, open))",2,6
alpha_285,1.0288851461845896,"mul(mul(high, close), low)",2,5
alpha_288,1.0288851461845896,"mul(high, mul(low, close))",2,5
alpha_289,1.0288851461845896,"mul(close, mul(low, high))",2,5
alpha_274,1.0288851461845896,"mul(mul(low, close), high)",2,5
alpha_282,1.0288851461845896,"mul(mul(close, high), low)",2,5
alpha_187,1.0288843383627078,"mul(mul(close, low), neg(low))",2,6
alpha_188,1.0288843383627078,"mul(mul(low, close), abs(low))",2,6
alpha_190,1.0288843383627078,"neg(mul(mul(low, close), low))",3,6
alpha_191,1.0288843383627078,"mul(mul(close, low), abs(low))",2,6
alpha_33,1.0286873354552646,"mul(mul(neg(close), mul(open, high)), max(low, sub(open, high)))",3,12
alpha_36,1.0286873354552644,"sub(log(max(close, high)), mul(mul(high, open), mul(low, close)))",3,12
alpha_199,1.0286779670948396,"mul(mul(open, close), sqrt(close))",2,6
alpha_355,1.028384844400213,"sub(mul(close, open), volume)",2,5
alpha_224,1.0283701108823244,"mul(mul(high, open), abs(close))",2,6
alpha_219,1.0283701108823244,"mul(mul(open, high), abs(close))",2,6
alpha_222,1.0283701108823244,"mul(abs(close), mul(high, open))",2,6
alpha_214,1.0283701108823244,"mul(neg(open), mul(high, close))",2,6
alpha_221,1.0283701108823244,"mul(mul(open, close), abs(high))",2,6
alpha_216,1.0283701108823244,"mul(mul(close, abs(open)), high)",3,6
alpha_118,1.028364077060257,"mul(close, sub(mul(close, open), inv(high)))",3,8
alpha_371,1.0283510851295274,"mul(low, mul(high, low))",2,5
alpha_375,1.0283510851295274,"mul(mul(low, high), low)",2,5
