,fitness,expression,depth,length
alpha_363,0.1496067385839625,"mul(mul(max(volume, volume), sub(low, close)), mul(volume, mul(sub(high, low), add(high, low))))",4,17
alpha_368,0.1494600439832977,"mul(sub(inv(close), neg(volume)), mul(mul(sub(close, low), mul(close, volume)), sub(low, high)))",4,17
alpha_359,0.14920909940688687,"mul(mul(mul(sub(high, close), sub(open, high)), sub(close, open)), mul(max(open, low), sqrt(volume)))",4,18
alpha_371,0.14910647544841388,"mul(mul(sub(low, volume), add(low, volume)), mul(sub(close, low), mul(sub(low, close), close)))",4,17
alpha_369,0.14910647544841388,"mul(mul(sub(low, volume), add(low, volume)), mul(sub(close, low), mul(sub(close, low), close)))",4,17
alpha_424,0.1485474479109684,"mul(mul(close, volume), mul(sub(low, close), sub(low, high)))",3,11
alpha_429,0.1485474479109684,"mul(sub(low, close), mul(mul(sub(low, high), volume), close))",4,11
alpha_410,0.1485474479109684,"mul(mul(mul(sub(low, high), volume), close), sub(low, close))",4,11
alpha_431,0.1485474479109684,"mul(mul(sub(close, low), mul(volume, close)), sub(high, low))",3,11
alpha_411,0.1485474479109684,"mul(mul(sub(close, low), mul(close, volume)), sub(low, high))",3,11
alpha_414,0.1485474479109684,"mul(mul(sub(close, low), mul(close, volume)), sub(high, low))",3,11
alpha_415,0.1485474479109684,"mul(sub(high, low), mul(mul(close, volume), sub(close, low)))",3,11
alpha_416,0.1485474479109684,"mul(sub(high, low), mul(sub(close, low), mul(close, volume)))",3,11
alpha_427,0.1485474479109684,"mul(mul(sub(low, close), mul(close, volume)), sub(high, low))",3,11
alpha_367,0.14846004404492963,"mul(add(log(volume), mul(volume, mul(mul(close, volume), sub(high, low)))), add(abs(low), neg(close)))",5,18
alpha_385,0.14831145969334164,"mul(mul(sub(open, volume), sub(low, close)), mul(sub(high, low), add(high, low)))",3,15
alpha_376,0.14768996443834836,"mul(div(sub(close, low), log(volume)), mul(mul(mul(sub(low, high), volume), close), sqrt(high)))",5,17
alpha_426,0.1475474479109684,"mul(sub(high, low), abs(mul(sub(close, low), mul(close, volume))))",4,12
alpha_422,0.1475474479109684,"mul(abs(mul(sub(low, close), mul(close, volume))), sub(low, high))",4,12
alpha_421,0.1475474479109684,"neg(mul(sub(close, low), mul(mul(close, volume), sub(high, low))))",4,12
alpha_419,0.1475474479109684,"mul(sub(high, low), mul(mul(close, volume), neg(sub(close, low))))",4,12
alpha_430,0.1475474479109684,"mul(sub(abs(close), low), mul(mul(close, volume), sub(high, low)))",3,12
alpha_413,0.1475474479109684,"mul(abs(mul(sub(close, low), mul(close, volume))), sub(low, high))",4,12
alpha_412,0.1475474479109684,"mul(mul(mul(sub(low, high), volume), close), neg(sub(close, low)))",4,12
alpha_432,0.1475474479109684,"mul(sub(high, low), abs(mul(sub(low, close), mul(close, volume))))",4,12
alpha_372,0.1475071599124026,"max(mul(sub(high, low), sub(mul(sub(low, close), sub(low, high)), high)), sqrt(add(low, close)))",5,18
alpha_395,0.14750586397942012,"mul(div(mul(sub(low, close), max(volume, low)), inv(sqrt(volume))), sub(low, close))",4,15
alpha_373,0.14731208299211096,"mul(div(sub(close, low), log(volume)), mul(sub(volume, open), mul(mul(low, volume), sub(low, close))))",4,18
alpha_396,0.14723847610238822,"div(mul(sub(low, close), sub(mul(volume, sub(low, close)), high)), inv(sqrt(volume)))",5,15
alpha_462,0.1471862011692103,"mul(sub(low, close), mul(sub(low, high), mul(open, volume)))",3,11
alpha_465,0.1471862011692103,"mul(mul(sub(low, high), mul(open, volume)), sub(low, close))",3,11
alpha_456,0.1471862011692103,"mul(sub(close, low), mul(sub(low, high), mul(open, volume)))",3,11
alpha_384,0.14711325968389105,"mul(mul(sub(low, volume), add(low, volume)), mul(sub(close, low), mul(sub(low, high), close)))",4,17
alpha_375,0.14684416747863183,"mul(div(sub(close, low), log(volume)), mul(sub(volume, open), mul(sub(low, close), sub(low, high))))",4,18
alpha_479,0.14671017830558103,"mul(sub(high, low), mul(mul(low, volume), sub(low, close)))",3,11
alpha_481,0.14671017830558103,"mul(sub(low, high), mul(mul(low, volume), sub(low, close)))",3,11
alpha_476,0.14671017830558103,"mul(sub(high, low), mul(sub(low, close), mul(low, volume)))",3,11
alpha_475,0.14671017830558103,"mul(mul(mul(low, volume), sub(low, close)), sub(high, low))",3,11
alpha_485,0.14671017830558103,"mul(mul(mul(volume, low), sub(low, close)), sub(low, high))",3,11
alpha_406,0.1465484905051024,"mul(sub(mul(mul(close, volume), sub(close, low)), volume), sub(low, high))",4,13
alpha_425,0.1465474479109684,"mul(sub(abs(close), low), abs(mul(mul(close, volume), sub(high, low))))",4,13
alpha_420,0.1465474479109684,"abs(mul(sub(high, low), abs(mul(mul(close, volume), sub(close, low)))))",5,13
alpha_417,0.1465474479109684,"mul(abs(mul(sub(low, close), mul(close, volume))), sub(abs(low), high))",4,13
alpha_392,0.14650586397942011,"abs(mul(sub(low, close), div(mul(sub(low, close), max(volume, low)), inv(sqrt(volume)))))",5,16
alpha_393,0.14650586397942011,"neg(mul(sub(close, low), div(mul(sub(low, close), max(volume, low)), inv(sqrt(volume)))))",5,16
alpha_386,0.14631145969334164,"mul(mul(sub(open, volume), add(abs(close), neg(low))), mul(sub(high, low), add(high, low)))",4,17
alpha_457,0.1461862011692103,"mul(mul(sub(low, high), mul(open, volume)), neg(sub(close, low)))",3,12
alpha_464,0.1461862011692103,"abs(mul(sub(low, close), mul(mul(volume, open), sub(low, high))))",4,12
alpha_467,0.1461862011692103,"mul(sub(abs(close), low), mul(sub(low, high), mul(open, volume)))",3,12
alpha_468,0.1461862011692103,"mul(abs(sub(low, close)), mul(sub(low, high), mul(open, volume)))",3,12
alpha_389,0.14608799336924372,"mul(mul(abs(sub(low, close)), abs(sub(volume, high))), mul(mul(low, volume), sub(low, close)))",4,17
alpha_390,0.14604366419107284,"div(mul(sub(low, close), mul(abs(sub(low, close)), abs(sub(volume, high)))), inv(sqrt(volume)))",5,17
alpha_443,0.1457299896945395,"mul(mul(volume, sub(low, close)), mul(sub(high, low), add(high, low)))",3,13
alpha_478,0.14571017830558103,"neg(mul(mul(sub(low, close), mul(low, volume)), sub(high, low)))",4,12
alpha_400,0.14569125925395227,"mul(mul(mul(volume, sub(close, low)), log(high)), mul(sub(high, low), add(high, low)))",4,16
alpha_380,0.1456062434736178,"mul(div(sub(close, low), log(volume)), mul(sub(volume, open), abs(mul(sub(low, close), mul(close, volume)))))",5,19
alpha_408,0.14554771467867814,"mul(neg(sub(low, close)), sub(low, mul(mul(close, volume), sub(high, low))))",4,14
alpha_436,0.14554640424770682,"mul(mul(mul(close, volume), sub(high, low)), sub(sub(low, close), inv(open)))",3,14
alpha_463,0.1451862011692103,"mul(abs(sub(low, close)), abs(mul(sub(low, high), mul(open, volume))))",4,13
alpha_521,0.1451440524959704,"mul(sub(low, close), sub(mul(volume, sub(close, low)), close))",4,11
alpha_497,0.14504446436216956,"mul(mul(sub(close, low), sub(low, close)), mul(volume, log(open)))",3,12
alpha_494,0.14504446436216956,"mul(mul(sub(low, close), sub(low, close)), mul(volume, log(open)))",3,12
alpha_612,0.1450007213076101,"mul(mul(volume, sub(low, close)), sub(low, close))",3,9
alpha_573,0.1450007213076101,"mul(sub(low, close), mul(volume, sub(low, close)))",3,9
alpha_574,0.1450007213076101,"mul(mul(volume, sub(close, low)), sub(low, close))",3,9
alpha_623,0.1450007213076101,"mul(mul(volume, sub(low, close)), sub(close, low))",3,9
alpha_626,0.1450007213076101,"mul(sub(low, close), mul(volume, sub(close, low)))",3,9
alpha_616,0.1450007213076101,"mul(mul(sub(close, low), volume), sub(low, close))",3,9
alpha_643,0.1450007213076101,"mul(sub(close, low), mul(volume, sub(close, low)))",3,9
alpha_470,0.1449341230714322,"add(mul(sub(close, low), add(mul(volume, sub(low, close)), volume)), low)",5,13
alpha_533,0.14492912975954506,"mul(mul(sub(volume, high), sub(close, low)), sub(low, close))",3,11
alpha_530,0.14492912975954506,"mul(sub(low, close), mul(sub(volume, high), sub(close, low)))",3,11
alpha_508,0.14476183684491736,"abs(mul(mul(sub(volume, high), sub(high, low)), sub(close, low)))",4,12
alpha_505,0.14476183684491736,"mul(abs(mul(sub(volume, high), sub(close, low))), sub(low, high))",4,12
alpha_510,0.14476183684491736,"abs(mul(mul(sub(high, low), sub(high, volume)), sub(close, low)))",4,12
alpha_513,0.14473454208702524,"abs(mul(sub(close, low), mul(sub(close, volume), sub(low, high))))",4,12
alpha_480,0.14471017830558103,"mul(abs(mul(mul(low, volume), sub(low, close))), abs(sub(low, high)))",4,13
alpha_488,0.1447098339863407,"mul(sub(mul(mul(volume, low), sub(low, close)), close), sub(low, high))",4,13
alpha_489,0.14470983368495827,"mul(sub(open, mul(mul(volume, low), sub(low, close))), sub(low, high))",4,13
alpha_409,0.14454744791728652,"add(mul(sub(close, low), mul(mul(close, volume), sub(high, low))), abs(sqrt(close)))",4,15
alpha_491,0.14425914381795715,"mul(add(volume, low), mul(mul(low, sub(low, close)), sub(low, close)))",4,13
alpha_469,0.14418592309946937,"mul(neg(sub(low, close)), sub(low, mul(sub(low, high), mul(open, volume))))",4,14
alpha_499,0.14400539747725905,"mul(abs(sub(low, close)), abs(mul(sub(high, low), sub(open, volume))))",4,13
alpha_610,0.1440007213076101,"neg(mul(sub(close, low), mul(volume, sub(close, low))))",4,10
alpha_608,0.1440007213076101,"abs(mul(mul(volume, sub(close, low)), sub(close, low)))",4,10
alpha_605,0.1440007213076101,"abs(mul(sub(low, close), mul(volume, sub(close, low))))",4,10
alpha_600,0.1440007213076101,"abs(mul(sub(low, close), mul(volume, sub(low, close))))",4,10
alpha_599,0.1440007213076101,"mul(mul(sub(low, close), neg(volume)), sub(low, close))",3,10
alpha_598,0.1440007213076101,"neg(mul(sub(close, low), mul(volume, sub(low, close))))",4,10
alpha_597,0.1440007213076101,"abs(mul(mul(sub(close, low), volume), sub(close, low)))",4,10
alpha_590,0.1440007213076101,"abs(mul(sub(close, low), mul(volume, sub(close, low))))",4,10
alpha_583,0.1440007213076101,"mul(mul(sub(close, low), volume), neg(sub(close, low)))",3,10
alpha_576,0.1440007213076101,"abs(mul(mul(volume, sub(low, close)), sub(close, low)))",4,10
alpha_618,0.1440007213076101,"mul(abs(sub(low, close)), mul(volume, sub(low, close)))",3,10
alpha_639,0.1440007213076101,"mul(abs(sub(low, close)), mul(volume, sub(close, low)))",3,10
alpha_619,0.1440007213076101,"mul(mul(sub(low, close), volume), neg(sub(close, low)))",3,10
alpha_620,0.1440007213076101,"neg(mul(sub(close, low), mul(sub(close, low), volume)))",4,10
alpha_529,0.14392912975954505,"mul(mul(sub(volume, high), sub(close, low)), neg(sub(close, low)))",3,12
alpha_531,0.14392912975954505,"neg(mul(sub(close, low), mul(sub(volume, high), sub(close, low))))",4,12
alpha_398,0.14384751325907102,"mul(sub(low, close), neg(mul(div(sub(close, low), log(volume)), mul(sub(volume, open), sqrt(high)))))",5,18
alpha_504,0.14376183684491736,"mul(sub(low, high), neg(abs(mul(sub(volume, high), sub(close, low)))))",5,13
alpha_503,0.14376183684491736,"mul(mul(abs(sub(low, close)), abs(sub(volume, high))), sub(low, high))",4,13
alpha_509,0.14376183684491736,"mul(abs(sub(low, close)), abs(mul(sub(high, low), sub(high, volume))))",4,13
alpha_511,0.14376183684491736,"mul(sub(low, high), mul(sub(abs(close), low), abs(sub(high, volume))))",4,13
alpha_512,0.14373454208702524,"abs(mul(neg(mul(sub(close, volume), sub(low, high))), sub(close, low)))",5,13
alpha_405,0.14357099970552295,"mul(mul(close, add(mul(sub(close, low), neg(volume)), abs(sqrt(close)))), sub(high, low))",5,16
alpha_428,0.1435474479109684,"max(neg(mul(low, volume)), mul(sub(low, high), mul(sub(low, close), mul(close, volume))))",4,16
alpha_433,0.14354744743047987,"mul(add(log(volume), mul(mul(close, volume), sub(high, low))), add(abs(low), neg(close)))",4,16
alpha_448,0.14351763067672507,"mul(mul(sub(low, close), max(volume, low)), mul(sub(high, low), add(high, low)))",3,15
alpha_517,0.14339378170841435,"mul(add(volume, low), mul(mul(volume, sub(low, close)), sub(low, close)))",4,13
alpha_523,0.14313896705540258,"mul(neg(sub(low, close)), sub(low, mul(sub(low, close), neg(volume))))",4,13
alpha_525,0.14313129603652236,"add(mul(sub(close, low), add(low, mul(volume, sub(low, close)))), low)",5,13
alpha_374,0.14309166658151434,"mul(div(sub(close, low), log(volume)), mul(mul(log(sub(open, high)), mul(sub(low, high), mul(open, volume))), sqrt(high)))",5,22
alpha_567,0.1430007213076101,"mul(mul(max(volume, volume), sub(low, close)), sub(close, low))",3,11
alpha_577,0.1430007213076101,"mul(max(mul(volume, sub(close, low)), volume), sub(low, close))",4,11
alpha_578,0.1430007213076101,"mul(mul(max(volume, volume), sub(low, close)), sub(low, close))",3,11
alpha_569,0.1430007213076101,"abs(mul(sub(low, close), mul(abs(volume), sub(close, low))))",4,11
alpha_584,0.1430007213076101,"mul(mul(abs(volume), sub(close, low)), neg(sub(close, low)))",3,11
alpha_593,0.1430007213076101,"mul(sub(low, close), abs(mul(abs(volume), sub(close, low))))",4,11
alpha_588,0.1430007213076101,"mul(abs(sub(low, close)), abs(mul(sub(close, low), volume)))",4,11
alpha_591,0.1430007213076101,"neg(mul(sub(close, low), mul(sub(low, close), abs(volume))))",4,11
alpha_594,0.1430007213076101,"mul(sub(low, close), mul(max(volume, volume), sub(low, close)))",3,11
alpha_635,0.1430007213076101,"abs(mul(sub(close, low), mul(abs(volume), sub(close, low))))",4,11
alpha_604,0.1430007213076101,"mul(abs(mul(sub(low, close), abs(volume))), sub(close, low))",4,11
alpha_630,0.1430007213076101,"mul(abs(sub(low, close)), mul(sub(close, low), neg(volume)))",3,11
alpha_532,0.14292912975954505,"mul(mul(sub(volume, high), sub(close, low)), add(abs(low), neg(close)))",3,13
alpha_667,0.1429197656398499,"max(sqrt(abs(low)), add(log(close), sub(high, low)))",3,10
alpha_440,0.1428231628119998,"mul(max(mul(sub(high, low), sub(volume, high)), sqrt(add(low, close))), sub(close, low))",4,16
alpha_506,0.14276183684491736,"mul(mul(sub(abs(close), low), abs(sub(high, volume))), abs(sub(low, high)))",4,14
alpha_541,0.1427436785052838,"mul(log(div(low, close)), mul(sub(close, low), mul(volume, close)))",3,12
alpha_487,0.14271017772904093,"mul(sub(mul(mul(low, volume), sub(low, close)), log(high)), abs(sub(low, high)))",4,15
alpha_486,0.14271017772904093,"mul(sub(mul(mul(volume, low), sub(low, close)), log(high)), abs(sub(low, high)))",4,15
alpha_401,0.14267241383510146,"mul(sub(low, close), sub(mul(div(sub(close, low), log(volume)), mul(sub(volume, open), sqrt(high))), high))",5,19
